# {'par': {'k': 10, 'D': 0.1, 'v': 0.5, 'tau': 0.2, 'R': 0.9, 'label': '(tau_0.2)'}, 'guess_range': ([-300, 50, 350], [0, 200, 200]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
9.375,-8.173206156382487e-16,42.979942693409726,0.0,7.405655384097115e-07,6
9.140461251356186,0.0,8.882521489971339,0.0,3.552713678800501e-14,6024
5.761531247586707,3.8115786497548583,3.868194842406865,0.0,7.105427357601002e-15,3404
5.761531247586707,-3.8115786497548583,3.868194842406865,-0.0,7.105427357601002e-15,3404
-0.6514705758628302,-82.76818900930992,-2.1489971346704806,-79.39698492462311,2.1335215960854819e-07,430
-0.6514705758628302,82.76818900930992,-2.1489971346704806,79.39698492462311,2.1335215960854819e-07,430
-1.7949283498473017,-51.583403432470384,-1.1461318051576086,-48.24120603015075,1.6670678150397359e-09,400
-1.7949283498473017,51.583403432470384,-1.1461318051576086,48.24120603015075,1.6670678150397359e-09,400
-2.4594370206809177,-11.392663436944963,-7.163323782234954,0.0,8.316689495813723e-14,2880
-2.4594370206809177,11.392663436944963,-7.163323782234954,-0.0,8.316689495813723e-14,2880
-3.7663329929371,-21.55514853883523,-3.1518624641834094,-19.09547738693467,5.084229945850415e-13,405
-3.7663329929371,21.55514853883523,-3.1518624641834094,19.09547738693467,5.084229945850415e-13,405
-23.001960160164664,-21.12425075300235,-28.22349570200572,0.0,2.971046426959962e-13,3412
-23.001960160164664,21.12425075300235,-28.22349570200572,-0.0,2.971046426959962e-13,3412
-50.66835335484694,28.087370201090273,-48.280802292263616,-0.0,7.785496131423346e-13,5031
-50.66835335484694,-28.087370201090273,-48.280802292263616,0.0,7.785496131423346e-13,5031
-86.19872384797961,35.109010884413344,-83.3810888252149,1.0050251256281406,7.418499460771976e-13,8298
-86.19872384797961,-35.109010884413344,-83.3810888252149,-1.0050251256281406,7.418499460771976e-13,8298
-129.6249830543063,42.13081323439535,-181.6618911174785,-1.0050251256281406,1.68627106250011e-12,9404
-129.6249830543063,-42.13081323439535,-181.6618911174785,1.0050251256281406,1.68627106250011e-12,9404
-180.9469259399906,49.15261544016343,-192.69340974212034,-1.0050251256281406,1.0004800477798388e-12,9372
-180.9469259399906,-49.15261544016343,-192.69340974212034,1.0050251256281406,1.0004800477798388e-12,9372
-240.1645523465267,-56.174417645901066,-245.84527220630372,-1.0050251256281406,1.3921156890384235e-12,9762
-240.1645523465267,56.174417645901066,-245.84527220630372,1.0050251256281406,1.3921156890384235e-12,9762
-307.2778622739344,-63.196219851638695,-300.0,3.015075376884422,1.7418295525233114e-12,6011
-307.2778622739344,63.196219851638695,-300.0,-3.015075376884422,1.7418295525233114e-12,6011
-382.28685572221343,-70.21802205737633,-225.78796561604585,15.07537688442211,2.1325799190415807e-12,23
-382.28685572221343,70.21802205737633,-225.78796561604585,-15.07537688442211,2.1325799190415807e-12,23
-465.19153269136416,77.23982426311397,-236.81948424068767,19.09547738693467,4.128077010656285e-12,7
-465.19153269136416,-77.23982426311397,-236.81948424068767,-19.09547738693467,4.128077010656285e-12,7
-555.9918931813862,-84.2616264688516,-288.9684813753582,16.08040201005025,3.0372780001651096e-12,2
-555.9918931813862,84.2616264688516,-288.9684813753582,-16.08040201005025,3.0372780001651096e-12,2
-875.7670757766814,105.32703308606449,-298.9971346704871,18.09045226130653,1.3617247933495805e-11,1
-875.7670757766814,-105.32703308606449,-298.9971346704871,-18.09045226130653,1.3617247933495805e-11,1
