Sol_r,Sol_i
0.3550376588492252,0
-1.065905311,3.205595056
-17.94866784,102.87742918037439
-18.65993043,110.03551810553532
-19.35007763,117.2146728737609
-4.830550772,14.02576615202362
-6.357562446,20.225347422304594
-7.718886897,26.656872834313663
-8.955611418,33.245242277849215
-10.09514037,39.948302185966504
-11.15644691,46.73978175960528
-12.1531878,53.60206120487331
-13.09553456,60.522665132358696
-13.99128391,67.49238705958277
-14.84655795,74.50420735374216
-3.078043432,8.214733922494682
-15.66626267,81.55263070661614
-16.45439813,88.63326056749834
-17.21427477,95.74251477898353
