Eigenvalue Real,Eigenvalue Imag,Sigma Real,Sigma Imag
0.518329347859264,0.0,0.3550376588492252,0.0
2.1803114869101137e-12,0.0,0.3550376588492252,0.0
-1.1585833362663898,-2.8382673720214995,0.3550376588492252,0.0
-1.1585833362663898,2.8382673720214995,0.3550376588492252,0.0
-3.4156754415270147,-7.837772996441063,0.3550376588492252,0.0
-3.4156754415270147,7.837772996441063,0.3550376588492252,0.0
7.621588476270887e-15,0.0,1e-16,1e-16
0.5462017778151421,0.0,1e-16,1e-16
-1.2151739856437653,-2.710380663123882,1e-16,1e-16
-1.2151739856437653,2.710380663123882,1e-16,1e-16
-4.032656361663722,-7.940227820025707,1e-16,1e-16
-4.032656361663722,7.940227820025707,1e-16,1e-16
-1.158583336269102,2.838267372091486,-1.065905311,3.205595056
-1.158583336269102,-2.838267372091486,-1.065905311,3.205595056
-3.415675441569825,-7.837772996499311,-1.065905311,3.205595056
-3.415675441569825,7.837772996499311,-1.065905311,3.205595056
0.5183293480316021,0.0,-1.065905311,3.205595056
-2.7880020561142732e-11,0.0,-1.065905311,3.205595056
-1.158583336267462,2.838267372090771,-1.065905311,-3.205595056
-1.158583336267462,-2.838267372090771,-1.065905311,-3.205595056
-3.4156754415683737,-7.837772996499258,-1.065905311,-3.205595056
-3.4156754415683737,7.837772996499258,-1.065905311,-3.205595056
0.5183293480351262,0.0,-1.065905311,-3.205595056
1.3194991459799863e-10,0.0,-1.065905311,-3.205595056
-3.415675441128336,7.837772996064236,-3.078043432,8.214733922494682
-3.415675441128336,-7.837772996064236,-3.078043432,8.214733922494682
-5.285957523082737,-13.680484195853312,-3.078043432,8.214733922494682
-5.285957523082737,13.680484195853312,-3.078043432,8.214733922494682
-6.888108138463535,-19.902207596357975,-3.078043432,8.214733922494682
-6.888108138463535,19.902207596357975,-3.078043432,8.214733922494682
-3.4156754411278643,7.837772996063798,-3.078043432,-8.214733922494682
-3.4156754411278643,-7.837772996063798,-3.078043432,-8.214733922494682
-5.285957523086241,-13.680484195855893,-3.078043432,-8.214733922494682
-5.285957523086241,13.680484195855893,-3.078043432,-8.214733922494682
-6.888108138444149,-19.90220759635054,-3.078043432,-8.214733922494682
-6.888108138444149,19.90220759635054,-3.078043432,-8.214733922494682
-5.285957523443407,13.68048419622145,-4.830550772,14.02576615202362
-5.285957523443407,-13.68048419622145,-4.830550772,14.02576615202362
-6.888108138790186,-19.902207596728985,-4.830550772,14.02576615202362
-6.888108138790186,19.902207596728985,-4.830550772,14.02576615202362
-3.415675441570022,7.837772996504048,-4.830550772,14.02576615202362
-3.415675441570022,-7.837772996504048,-4.830550772,14.02576615202362
-5.285957523440745,13.680484196222782,-4.830550772,-14.02576615202362
-5.285957523440745,-13.680484196222782,-4.830550772,-14.02576615202362
-6.888108138780657,-19.902207596717272,-4.830550772,-14.02576615202362
-6.888108138780657,19.902207596717272,-4.830550772,-14.02576615202362
-3.4156754415741872,7.837772996502916,-4.830550772,-14.02576615202362
-3.4156754415741872,-7.837772996502916,-4.830550772,-14.02576615202362
-6.888108138797477,19.90220759673064,-6.357562446,20.225347422304594
-6.888108138797477,-19.90220759673064,-6.357562446,20.225347422304594
-8.308764272761461,-26.34524054687427,-6.357562446,20.225347422304594
-8.308764272761461,26.34524054687427,-6.357562446,20.225347422304594
-5.285957523460224,13.680484196243253,-6.357562446,20.225347422304594
-5.285957523460224,-13.680484196243253,-6.357562446,20.225347422304594
-6.888108138796595,19.902207596734392,-6.357562446,-20.225347422304594
-6.888108138796595,-19.902207596734392,-6.357562446,-20.225347422304594
-8.3087642727663,-26.345240546868595,-6.357562446,-20.225347422304594
-8.3087642727663,26.345240546868595,-6.357562446,-20.225347422304594
-5.285957523466714,13.680484196248564,-6.357562446,-20.225347422304594
-5.285957523466714,-13.680484196248564,-6.357562446,-20.225347422304594
-8.308764272711858,26.345240546824247,-7.718887,26.656873
-8.308764272711858,-26.345240546824247,-7.718887,26.656873
-9.59959971168119,-32.93674623982055,-7.718887,26.656873
-9.59959971168119,32.93674623982055,-7.718887,26.656873
-6.888108138752772,19.902207596668376,-7.718887,26.656873
-6.888108138752772,-19.902207596668376,-7.718887,26.656873
-8.308764272711503,26.345240546821074,-7.718887,-26.656873
-8.308764272711503,-26.345240546821074,-7.718887,-26.656873
-9.599599711692132,-32.936746239849626,-7.718887,-26.656873
-9.599599711692132,32.936746239849626,-7.718887,-26.656873
-6.8881081387479774,19.902207596677002,-7.718887,-26.656873
-6.8881081387479774,-19.902207596677002,-7.718887,-26.656873
-9.599599711622318,32.93674623977209,-8.955611,33.245242
-9.599599711622318,-32.93674623977209,-8.955611,33.245242
-10.793012690215573,-39.63633543558213,-8.955611,33.245242
-10.793012690215573,39.63633543558213,-8.955611,33.245242
-8.308764272627682,26.345240546764785,-8.955611,33.245242
-8.308764272627682,-26.345240546764785,-8.955611,33.245242
-9.599599711626931,32.93674623977217,-8.955611,-33.245242
-9.599599711626931,-32.93674623977217,-8.955611,-33.245242
-10.7930126902022,-39.63633543560022,-8.955611,-33.245242
-10.7930126902022,39.63633543560022,-8.955611,-33.245242
-8.308764272663318,26.345240546752898,-8.955611,-33.245242
-8.308764272663318,-26.345240546752898,-8.955611,-33.245242
